N,LOCATION,LAT,LON,STN_CHAN,PERCENT_UP
73,PUERTO RICO REGION,18.309091,-66.083660,GCPR_HHZ.PR.00,97.7
74,CUBA REGION,20.327400,-74.592936,GNEO_HHZ.CW.00,0.0
75,WINDWARD ISLANDS,12.132400,-61.653999,GRGR_BHZ.CU.00,99.7
76,BAHAMA ISLANDS,21.511499,-71.132698,GRTK_BHZ.CU.00,92.4
77,CUBA REGION,19.926800,-75.110802,GTBY_BHZ.CU.00,100.1
78,GUATEMALA,14.532000,-90.498000,GUVC_HHZ.GI.--,100.0
79,CALIF.-BAJA CALIF. BORDER REGION,32.302900,-115.076000,GUVIX_HHZ.BC.--,0.0
80,CARIBBEAN SEA,12.180330,-68.957870,HATO_BHZ.WC.--,0.0
81,DOMINICAN REPUBLIC REGION,18.787901,-69.381104,HATO_SHZ.DR.--,0.0
82,COSTA RICA,10.002070,-84.111390,HDC_BHZ.G.00,29.1
83,HAITI REGION,19.163700,-72.015600,HINH_HHZ.AY.--,0.0
84,CENTRAL TEXAS,29.950001,-95.833298,HKT_BHZ.IU.00,79.3
85,DOMINICAN REPUBLIC REGION,18.787800,-69.381104,HMDR_BHZ.DR.--,99.8
86,NORTHERN MEXICO,26.935200,-105.665497,HPIG_BHZ.MX.--,71.3
87,SONORA MEXICO,29.117001,-111.616997,HSIG_BHZ.MX.--,76.6
88,MEXICO-GUATEMALA BORDER REGION,15.320000,-91.500000,HUEH_HHZ.GI.--,0.0
89,PUERTO RICO REGION,18.142069,-65.848851,HUMP_HHZ.PR.00,100.2
90,PUERTO RICO REGION,17.886300,-66.526700,ICMP_HH1.PR.00,0.0
91,PUERTO RICO REGION,17.886300,-66.526700,ICMP_HH2.PR.00,0.0
92,PUERTO RICO REGION,17.886300,-66.526700,ICMP_HHZ.PR.00,99.8
93,MONA PASSAGE,18.384399,-67.479202,IDE_SHZ.PR.--,0.0
94,PUERTO RICO REGION,17.965485,-66.106852,IGPR_HHZ.PR.00,91.3
95,CALIF.-BAJA CALIF. BORDER REGION,32.650100,-116.109500,IKP_BHZ.CI.--,100.0
96,WINDWARD ISLANDS,14.774500,-60.875300,ILAM_BHZ.WI.00,0.0
97,MONA PASSAGE,18.109501,-67.908096,IMO_SHZ.PR.--,0.0
98,MONA PASSAGE,18.076971,-67.931123,IMPR_HHZ.PR.00,0.0
99,OFF THE COAST OF COSTA RICA,9.864700,-85.502197,INDI_HHZ.OV.--,5.1
100,MONA PASSAGE,18.084788,-67.049025,ISPR_HNZ.PR.00,99.9
101,NEAR THE COAST OF VENEZUELA,11.087300,-68.829903,JACV_BHZ.VE.--,0.0
102,CENTRAL TEXAS,30.479400,-99.802200,JCT_BHZ.US.00,97.5
103,DOMINICAN REPUBLIC REGION,18.491400,-71.864200,JIDR_BHE.DR.--,0.0
104,DOMINICAN REPUBLIC REGION,18.491400,-71.864200,JIDR_BHN.DR.--,0.0
105,DOMINICAN REPUBLIC REGION,18.491400,-71.864200,JIDR_BHZ.DR.--,0.0
106,COSTA RICA,10.290800,-84.952499,JTS_BHZ.II.00,100.1
107,NEAR THE COAST OF TEXAS,27.545900,-97.892900,KVTX_BHZ.US.00,100.5
108,NEAR THE NORTH COAST OF COLOMBIA,8.857167,-76.367667,LCBC_BHZ.CM.00,0.0
109,CUBA REGION,19.667600,-80.082100,LCCY_HHZ.CY.01,98.6
110,CHIHUAHUA MEXICO,30.365200,-107.972298,LGIG_BHZ.MX.--,0.0
111,HAITI REGION,18.510000,-72.610001,LGNH_HHZ.CN.--,0.0
112,NICARAGUA,13.062363,-86.366196,LIMN_HHZ.NU.10,0.0
113,CENTRAL MEXICO,24.898199,-99.465698,LNIG_BHZ.MX.--,71.1
114,DOMINICAN REPUBLIC REGION,17.861952,-71.638732,LOBH_EHZ.LO.00,93.3
115,DOMINICAN REPUBLIC REGION,19.476983,-70.852917,LOCA_EHZ.LO.00,93.1
116,DOMINICAN REPUBLIC REGION,19.544800,-71.704500,LODA2_EHZ.LO.00,0.0
117,DOMINICAN REPUBLIC REGION,18.352703,-71.473995,LODU1_EHZ.LO.00,32.1
118,DOMINICAN REPUBLIC REGION,19.910067,-71.002067,LOLU_EHZ.LO.00,92.7
119,DOMINICAN REPUBLIC REGION,19.843583,-71.650967,LOMC_EHZ.LO.00,92.5
